Title,Old Price,Discounted Price,Discount %,Link,Promo Note
Kalo Authentic Greek Yoghurt Tub Vanilla Bean 800g,9.65,8.65,10.4,https://www.woolworths.co.nz/shop/product-details/796358/kalo-authentic-greek-yoghurt-tub-vanilla-bean,SAVE $1.00
Griffin's Cookie Bear Biscuits Choc Stripes 200g,3.65,2.49,31.8,https://www.woolworths.co.nz/shop/product-details/270834/griffin-s-cookie-bear-biscuits-choc-stripes,
Sanitarium Cereal Ricies 275g,3.99,2.59,35.1,https://www.woolworths.co.nz/shop/product-details/324624/sanitarium-cereal-ricies,
Maggi Instant Gravy Mix Pub Style 25g,1.29,1,22.5,https://www.woolworths.co.nz/shop/product-details/6023061/maggi-instant-gravy-mix-pub-style,SAVE $0.29
Whittaker's Chocolate Creamy Caramel 250g,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/289288/whittaker-s-chocolate-creamy-caramel,SAVE $1.00
So Good Almond Milk High Protein 1L,4.59,3.99,13.1,https://www.woolworths.co.nz/shop/product-details/171712/so-good-almond-milk-high-protein,SAVE $0.60
Doritos Corn Chips Thai Sweet Chilli Share Bag 300g,4.6,4,13.0,https://www.woolworths.co.nz/shop/product-details/494810/doritos-corn-chips-thai-sweet-chilli-share-bag,
Cadbury Chocolate Bar Flake 30g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/98372/cadbury-chocolate-bar-flake,SAVE $1.30
McCain Frozen Peas & Corn 500g,4.3,2.99,30.5,https://www.woolworths.co.nz/shop/product-details/54232/mccain-frozen-peas-corn,
Fantastic Delites Rice Crackers Sour Cream & Chives 100g,2.39,1.7,28.9,https://www.woolworths.co.nz/shop/product-details/306758/fantastic-delites-rice-crackers-sour-cream-chives,SAVE $0.69
Purex Toilet Paper 12pk Unscented 2 Ply,9.7,8.49,12.5,https://www.woolworths.co.nz/shop/product-details/264247/purex-toilet-paper-12pk-unscented-2-ply,SAVE $1.21
Auntie Dai's Dumplings Prawn Pork & Garlic 500g,12.6,6.29,1,https://www.woolworths.co.nz/shop/product-details/164674/auntie-dai-s-dumplings-prawn-pork-garlic,SAVE $6.31
Cadbury Chocolate Bar Moro 50g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/610115/cadbury-chocolate-bar-moro,SAVE $1.30
Hellers Ham Shaved Champagne Leg 200g,6.65,4.5,32.3,https://www.woolworths.co.nz/shop/product-details/640557/hellers-ham-shaved-champagne-leg,SAVE $2.15
Farrah's Taco Tortillas Small 12 pack,6.99,5.49,21.5,https://www.woolworths.co.nz/shop/product-details/525659/farrah-s-taco-tortillas-small,SAVE $1.50
Tegel Free Range Chicken Tenders Southern Style 750g,16,9.89,38.2,https://www.woolworths.co.nz/shop/product-details/307516/tegel-free-range-chicken-tenders-southern-style,
Boring Oat Milk Original 1L,4.89,4.4,10.0,https://www.woolworths.co.nz/shop/product-details/190448/boring-oat-milk-original,SAVE $0.49
Meadow Fresh Cream Cheese 150g,3.79,3.4,10.3,https://www.woolworths.co.nz/shop/product-details/281646/meadow-fresh-cream-cheese,SAVE $0.39
Cadbury Chocolate Bar Marshmallow Pinky 45g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/181913/cadbury-chocolate-bar-marshmallow-pinky,SAVE $1.30
Chesdale Cheese Slices Tasty 250g,4.99,3.9,21.8,https://www.woolworths.co.nz/shop/product-details/281859/chesdale-cheese-slices-tasty,SAVE $1.09
Tostitos Rounds Corn Chips Mild Mexican Salsa 290g,5.5,4,27.3,https://www.woolworths.co.nz/shop/product-details/197691/tostitos-rounds-corn-chips-mild-mexican-salsa,
Colgate Advanced Whitening Toothpaste Tartar Control 115g,6.49,4.49,30.8,https://www.woolworths.co.nz/shop/product-details/197107/colgate-advanced-whitening-toothpaste-tartar-control,SAVE $2.00
Uncle Tobys Roll-Ups Fruit Snack Rainbow Fruit Salad 94g,5.49,4,27.1,https://www.woolworths.co.nz/shop/product-details/324233/uncle-tobys-roll-ups-fruit-snack-rainbow-fruit-salad,
Farrah's Burrito Tortillas Medium 10 pack,6.99,5.49,21.5,https://www.woolworths.co.nz/shop/product-details/525657/farrah-s-burrito-tortillas-medium,SAVE $1.50
Griffin's Snax Crackers Original 135g,2.99,1.95,34.8,https://www.woolworths.co.nz/shop/product-details/775663/griffin-s-snax-crackers-original,
Arnott's Fun Sticks Biscuits Chocolate Snack Sticks 180g 10 Pack,5.89,5.2,11.7,https://www.woolworths.co.nz/shop/product-details/717340/arnott-s-fun-sticks-biscuits-chocolate-snack-sticks-180g,
V Blue Energy Drink 500mL,4.24,2.49,41.3,https://www.woolworths.co.nz/shop/product-details/705699/v-blue-energy-drink,SAVE $1.75
Farmer Brown Eggs Cage Free Barn Size 6 18 Pack,15.45,11.9,23.0,https://www.woolworths.co.nz/shop/product-details/277465/farmer-brown-eggs-cage-free-barn-size-6,SAVE $3.55
Mainland Cheese Edam 1kg,18.95,15.99,15.6,https://www.woolworths.co.nz/shop/product-details/281911/mainland-cheese-edam,SAVE $2.96
Destination Italy Pizza Margherita 380g,12,9.9,17.5,https://www.woolworths.co.nz/shop/product-details/6033514/destination-italy-pizza-margherita,
Snickers Chocolate Sharepack Fun Size 12 Pack,7.59,4.9,35.4,https://www.woolworths.co.nz/shop/product-details/206889/snickers-chocolate-sharepack-fun-size,SAVE $2.69
Keri Fruit Juice Apple Juice 1L,3.99,2.5,37.3,https://www.woolworths.co.nz/shop/product-details/270252/keri-fruit-juice-apple-juice,
Cotton Softs Toilet Paper Family Pack White 2 Ply 24 pack,15.15,12,20.8,https://www.woolworths.co.nz/shop/product-details/881157/cotton-softs-toilet-paper-family-pack-white-2-ply,SAVE $3.15
Waitoa Chicken Tenders Homestyle Free Range 700g,16.5,14.5,12.1,https://www.woolworths.co.nz/shop/product-details/6076516/waitoa-chicken-tenders-homestyle-free-range,
Sorbent Facial Tissues 2 Ply White 224 sheets,3.79,3.25,14.2,https://www.woolworths.co.nz/shop/product-details/2370/sorbent-facial-tissues-2-ply-white,SAVE $0.54
Keri Juice Co. Fruit Drink Apple Orange & Mango 1L,3.99,2.5,37.3,https://www.woolworths.co.nz/shop/product-details/270366/keri-juice-co-fruit-drink-apple-orange-mango,
Golden Crumpets Squares,3.99,3,24.8,https://www.woolworths.co.nz/shop/product-details/6063470/golden-crumpets-squares,SAVE $0.99
